//source,x,y,destination,x,y

//Region 0

// //Tutorial
144,	5,	27,	145,	8,	12
145,	7,	13,	144,	5,	28
145,	8,	13,	144,	5,	28
145,	9,	13,	144,	5,	28
144,	59,	17,	153,	8,	18
144,	60,	17,	153,	9,	18
153,	8,	19,	144,	59,	18
153,	9,	19,	144,	60,	18

// // Tutorial2 to Tents
166,	24,	10,	167,	8,	12
167,	8,	13,	166,	24,	11
166,	30,	13,	168,	8,	12
168,	8,	13,	166,	30,	14

// // Tutorial Pathways
166,	5,	34,	169,	4,	1
166,	6,	34,	169,	5,	1
166,	7,	34,	169,	6,	1
169,	4,	0,	166,	5,	33
169,	5,	0,	166,	6,	33
169,	6,	0,	166,	7,	33
169,	43,	10,	170,	1,	10
169,	43,	11,	170,	1,	11
169,	43,	12,	170,	1,	12
170,	0,	10,	169,	42,	10
170,	0,	11,	169,	42,	11
170,	0,	12,	169,	42,	12
170,	34,	0,	171,	34,	18
170,	35,	0,	171,	35,	18
170,	36,	0,	171,	36,	18
171,	34,	19,	170,	34,	1
171,	35,	19,	170,	35,	1
171,	36,	19,	170,	36, 1
171,	3,	0,	172,	3,	13
171,	4,	0,	172,	4,	13
171,	5,	0,	172,	5,	13
172,	3,	14,	171,	3,	1
172,	4,	14,	171,	4,	1
172,	5,	14,	171,	5,	1

//Region 1

// // Island
1,	21,	50,	2,	7,	13
1,	22,	50,	2,	9,	13
1,	31,	47,	3,	7,	13
1,	32,	47,	3,	9,	13
1,	46,	24,	4,	7,	13
1,	47,	24,	4,	9,	13
2,	7,	14,	1,	21,	51
2,	8,	14,	1,	21,	51
2,	9,	14,	1,	22,	51
3,	7,	14,	1,	31,	48
3,	8,	14,	1,	31,	48
3,	9,	14,	1,	32,	48
4,	7,	14,	1,	46,	25
4,	8,	14,	1,	46,	25
4,	9,	14,	1,	47,	25

// // Island to cave
1,	31,	34,	5,	19,	2
5,	19,	1,	1,	31,	35

// // Cave
5,	6,	23,	6,	8,	1
5,	7,	23,	6,	8,	1
11,	8,	0,	5,	5,	22
11,	8,	14,	12,	8,	1
12,	7,	0,	11,	8,	13
12,	8,	0,	11,	8,	13
12,	9,	0,	11,	8,	13
23,	34,	18,	24,	34,	19
23,	35,	18,	24,	35,	19
24,	31,	5,	25,	31,	6
24,	32,	5,	25,	32,	6
24,	34,	18,	23,	34,	19
24,	35,	18,	23,	35,	19
25,	31,	5,	24,	31,	6
25,	32,	5,	24,	32,	6
25,	4,	2,	11,	8,	13
25,	5,	2,	11,	8,	13

// // Cave to Birdisland
12,	6,	59,	13,	16,	14
13,	16,	13,	12,	6,	58
